station_id,awnd,lat,lng
RQW00011641,51,18.4325,-66.0108
USW00003810,10,35.7425,-81.3819
USW00003812,15,35.4319,-82.5375
USW00003813,4,32.6847,-83.6528
USW00003818,19,30.8356,-85.1839
USW00003820,14,33.3644,-81.9633
USW00003822,13,32.13,-81.21
USW00003856,23,34.6439,-86.7861
USW00003859,20,37.2958,-81.2078
USW00003870,17,34.8831,-82.2203
USW00003872,25,37.7836,-81.1231
USW00003878,6,31.8606,-86.0122
USW00003882,17,30.2119,-85.6828
USW00003888,12,33.7792,-84.5214
USW00003901,28,32.3847,-94.7117
USW00003904,62,30.5892,-96.3647
USW00003927,44,32.8978,-97.0189
USW00003937,59,30.125,-93.2158
USW00003940,17,32.3206,-90.0778
USW00003971,38,32.6808,-96.8681
USW00003991,41,33.2061,-97.1989
USW00003996,22,32.35,-91.0278
USW00003999,49,30.7406,-98.2353
USW00004725,41,42.1997,-75.985
USW00004726,46,40.3161,-78.8339
USW00004751,32,41.8031,-78.6403
USW00004780,21,42.5519,-71.7558
USW00004781,18,40.7939,-73.1017
USW00004787,37,41.1783,-78.8989
USW00004789,21,41.5092,-74.265
USW00004836,31,47.2856,-68.3133
USW00012812,17,26.9172,-81.9914
USW00012815,21,28.4339,-81.325
USW00012816,10,29.6919,-82.2756
USW00012818,19,28.4736,-82.4544
USW00012819,22,28.8208,-81.8097
USW00012832,13,29.7333,-85.0333
USW00012833,12,29.6333,-83.1053
USW00012834,17,29.1828,-81.0483
USW00012835,26,26.585,-81.8614
USW00012836,46,24.555,-81.7522
USW00012838,20,28.1011,-80.6439
USW00012839,34,25.7906,-80.3164
USW00012841,17,28.5453,-81.3331
USW00012842,19,27.9619,-82.5403
USW00012843,17,27.6531,-80.2428
USW00012844,28,26.6847,-80.0994
USW00012849,33,26.0719,-80.1536
USW00012854,18,28.7797,-81.2436
USW00012871,17,27.4014,-82.5586
USW00012873,30,27.9106,-82.6875
USW00012876,25,28.0622,-81.7542
USW00012882,36,25.9069,-80.2803
USW00012884,26,29.3331,-89.4075
USW00012885,38,26.1969,-80.1708
USW00012888,30,25.6475,-80.4331
USW00012894,9,26.5361,-81.755
USW00012895,11,27.4981,-80.3767
USW00012896,32,24.7258,-81.0517
USW00012897,27,26.1522,-81.7753
USW00012904,46,26.2281,-97.6542
USW00012912,51,28.8614,-96.9303
USW00012916,34,29.9933,-90.2511
USW00012917,75,29.9506,-94.0206
USW00012918,74,29.6381,-95.2819
USW00012919,51,25.9156,-97.4186
USW00012921,68,29.5442,-98.4839
USW00012923,115,29.2733,-94.8592
USW00012924,74,27.7839,-97.5108
USW00012932,69,27.7411,-98.0247
USW00012935,93,28.7247,-96.2536
USW00012947,49,28.4567,-99.2183
USW00012957,56,26.1658,-97.3458
USW00012959,35,26.1839,-98.2539
USW00012960,43,29.98,-95.36
USW00012962,73,29.36,-99.1742
USW00012968,39,29.5622,-91.5256
USW00012970,68,29.3389,-98.4719
USW00012971,73,29.7036,-98.0281
USW00012972,88,28.0836,-97.0464
USW00012975,73,29.5189,-95.2417
USW00012976,81,29.1097,-95.4619
USW00012977,62,29.6222,-95.6564
USW00013722,17,35.8922,-78.7819
USW00013723,16,36.0969,-79.9433
USW00013728,11,36.5728,-79.3361
USW00013729,17,38.8853,-79.8528
USW00013733,18,37.3208,-79.2067
USW00013734,23,39.4019,-77.9844
USW00013735,18,39.3667,-75.0667
USW00013736,22,39.6428,-79.9164
USW00013737,27,36.9033,-76.1922
USW00013739,29,39.8683,-75.2311
USW00013740,21,37.505,-77.3203
USW00013741,23,37.3169,-79.9742
USW00013743,35,38.8483,-77.0342
USW00013744,15,34.1853,-79.7239
USW00013748,18,34.2675,-77.8997
USW00013764,17,38.6892,-75.3592
USW00013776,16,34.6081,-79.0592
USW00013781,36,39.6728,-75.6008
USW00013786,18,36.2606,-76.175
USW00013833,17,31.2819,-89.2531
USW00013837,14,33.4669,-82.0386
USW00013838,25,30.6264,-88.0681
USW00013839,19,31.3214,-85.4497
USW00013865,14,32.3347,-88.7442
USW00013869,13,31.5356,-84.1944
USW00013870,8,31.5358,-82.5067
USW00013871,14,33.5872,-85.8556
USW00013873,13,33.9481,-83.3275
USW00013874,17,33.63,-84.4417
USW00013876,18,33.5656,-86.745
USW00013877,15,36.4731,-82.4044
USW00013878,21,31.1522,-81.3908
USW00013880,24,32.8986,-80.0403
USW00013881,13,35.2236,-80.9553
USW00013883,14,33.9486,-81.1186
USW00013884,14,30.7797,-86.5225
USW00013886,21,34.8461,-82.3461
USW00013889,12,30.4844,-81.7019
USW00013894,28,30.6794,-88.2397
USW00013895,7,32.2997,-86.4075
USW00013896,23,34.7442,-87.5997
USW00013899,25,30.4781,-87.1869
USW00013904,69,30.1831,-97.68
USW00013927,21,32.3367,-90.2214
USW00013935,20,31.3928,-92.2956
USW00013939,29,33.4825,-90.9853
USW00013942,17,32.5156,-92.0406
USW00013957,32,32.4506,-93.8411
USW00013958,41,30.3208,-97.7603
USW00013959,40,31.6189,-97.2283
USW00013960,50,32.8519,-96.8556
USW00013961,47,32.8192,-97.3614
USW00013970,29,30.5372,-91.1469
USW00013972,38,32.3542,-95.4025
USW00013973,51,30.5108,-99.7664
USW00013976,39,30.205,-91.9875
USW00013977,31,33.4536,-94.0075
USW00013978,17,33.4964,-90.0867
USW00014605,21,44.3206,-69.7972
USW00014606,35,44.7978,-68.8186
USW00014607,12,46.8706,-68.0172
USW00014609,24,46.1236,-67.7928
USW00014610,9,45.6478,-68.6925
USW00014702,19,42.47,-71.2894
USW00014707,21,41.3275,-72.0494
USW00014710,24,42.9333,-71.4383
USW00014711,26,40.1936,-76.7633
USW00014712,25,40.3667,-75.9667
USW00014719,20,40.8436,-72.6322
USW00014732,36,40.7794,-73.8803
USW00014734,34,40.6825,-74.1694
USW00014735,30,42.7431,-73.8092
USW00014736,34,40.2964,-78.3203
USW00014737,30,40.6508,-75.4492
USW00014739,37,42.3606,-71.0106
USW00014740,24,41.9381,-72.6825
USW00014745,19,43.1953,-71.5011
USW00014748,33,42.1594,-76.8919
USW00014750,22,43.35,-73.6167
USW00014751,30,40.2172,-76.8514
USW00014752,22,41.7361,-72.6506
USW00014756,21,41.2531,-70.0608
USW00014757,16,41.6267,-73.8842
USW00014758,23,41.2639,-72.8872
USW00014762,42,40.3547,-79.9217
USW00014763,19,42.4272,-73.2892
USW00014764,24,43.6497,-70.3003
USW00014765,25,41.7219,-71.4325
