id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL152011,NATE,2011,09,06,18,00,20.3,-93.9,30,0
AL152011,NATE,2011,09,07,00,00,20.3,-93.7,30,0
AL152011,NATE,2011,09,07,06,00,20.3,-93.3,30,0
AL152011,NATE,2011,09,07,12,00,20.3,-92.9,35,0
AL152011,NATE,2011,09,07,18,00,20.3,-92.6,40,0
AL152011,NATE,2011,09,08,00,00,20.2,-92.5,45,0
AL152011,NATE,2011,09,08,06,00,20.1,-92.4,50,0
AL152011,NATE,2011,09,08,12,00,19.9,-92.3,55,0
AL152011,NATE,2011,09,08,18,00,19.7,-92.3,65,1
AL152011,NATE,2011,09,09,00,00,19.7,-92.1,65,1
AL152011,NATE,2011,09,09,06,00,19.9,-92.2,55,0
AL152011,NATE,2011,09,09,12,00,20,-92.4,50,0
AL152011,NATE,2011,09,09,18,00,20,-92.7,45,0
AL152011,NATE,2011,09,10,00,00,20,-93,45,0
AL152011,NATE,2011,09,10,06,00,20,-93.4,45,0
AL152011,NATE,2011,09,10,12,00,20.1,-93.8,50,0
AL152011,NATE,2011,09,10,18,00,20.1,-94.2,55,0
AL152011,NATE,2011,09,11,00,00,20.1,-94.7,55,0
AL152011,NATE,2011,09,11,06,00,20,-95.4,50,0
AL152011,NATE,2011,09,11,12,00,20.3,-96.4,40,0
AL152011,NATE,2011,09,11,16,00,20.5,-97,40,0
AL152011,NATE,2011,09,11,18,00,20.5,-97.2,35,0
AL152011,NATE,2011,09,12,00,00,20.5,-97.8,25,0
