id	lat	lon
1	11.9	-61.8
2	12	-61.8
3	12.9	-83.5
4	12.9	-83.6
5	13.4	-61.2
6	14.3	-83.2
7	16.3	-88.4
8	17.1	-61.7
9	17.1	-61.8
10	17.2	-88.3
11	17.4	-64.8
12	17.4	-77.2
13	17.5	-61.7
14	17.9	-62.8
15	17.9	-76.6
16	17.9	-88
17	18.1	-63
18	18.1	-63.1
19	18.1	-72.8
20	18.2	-63.1
21	18.5	-64.4
22	18	-62.9
23	18	-63.3
24	18.6	-68.3
25	18.6	-94.9
26	18.7	-87.2
27	18.7	-87.7
28	18.8	-87.7
29	18.9	-81.5
30	19.3	-96.2
31	19.7	-79.8
32	19.9	-77.6
33	20.3	-87.4
34	20.5	-97
35	20.6	-86.8
36	20	-76
37	20.7	-78
38	20.8	-86.9
39	21.1	-75.7
40	21.3	-83
41	21.3	-89.3
42	21.5	-81.8
43	21.6	-82.5
44	21	-73.2
45	21.7	-85.2
46	21.8	-72.3
47	22.1	-80.7
48	22.1	-81.2
49	22.1	-84
50	22.4	-74
51	22.4	-83.1
52	22.6	-82.9
53	22.6	-97.9
54	22.7	-82.6
55	22	-84.1
56	23.5	-75.1
57	24.2	-97.7
58	24.3	-78
59	24.6	-75.6
60	24.6	-81.6
61	24	-74.5
62	24.7	-76.2
63	24.8	-97.6
64	25.1	-76.1
65	25.3	-81.1
66	25.3	-97.4
67	25.4	-76.3
68	25.4	-76.4
69	25.9	-81.7
70	26.3	-77.1
71	26.4	-97.2
72	26.4	-97.4
73	26.5	-77.2
74	26.6	-76.8
75	26.6	-78.2
76	26.6	-82.2
77	26.7	-77.3
78	26	-80.1
79	26.9	-82.1
80	26.9	-97.4
81	27.2	-80.2
82	28.3	-96.2
83	28.9	-89.4
84	29.2	-90.1
85	29.2	-90.2
86	29.2	-90.7
87	29.3	-89.6
88	29.3	-94.7
89	29.5	-92.2
90	29.6	-94.3
91	29.7	-93.7
92	30.2	-87.9
93	30.2	-89.6
94	30.4	-87.1
95	32.3	-64.7
96	32.3	-64.8
97	33	-79.4
98	33	-79.6
99	33.8	-78
100	33.8	-78.7
101	34.7	-76.6
102	34.9	-76.2
103	35.8	-75.5
104	37	-25.1
105	39.4	-74.4
106	43.8	-66.2
107	44.3	-64.5
108	44.4	-63.8
109	45.6	-60.4
110	46.6	-53.2
111	47.6	-58.6
